episode,rewards_total
137,12.9617618224
138,12.7812207984
139,13.2751916133
140,13.0363043593
141,13.3878905772
142,12.1827978456
143,13.2743897783
144,13.2650439494
145,12.8769220306
146,13.1879594121
147,13.053538313
148,13.2311405142
149,13.6818721757
150,13.1300071984
151,13.2657664283
152,13.7479776137
153,13.9931976881
154,13.5907931672
155,13.0032216932
156,12.3829163693
157,13.1934149643
158,12.8773306741
159,13.240417157
160,13.6453108612
161,12.9034172661
162,13.2890272383
163,13.2202441282
164,13.6344773152
165,13.220431214
166,13.1303378593
167,12.8098013061
168,13.2547619014
169,13.4573052265
170,13.2488679483
171,13.426724809
172,12.9825316408
173,12.6305963051
174,12.9848064627
175,12.8187716886
176,13.0175165855
177,13.3150200654
178,13.733936202
179,13.0517726184
180,13.1407409642
181,13.4876619932
182,13.8267503216
183,12.8547255212
184,12.8796544617
185,12.9716634267
186,12.8506439118
187,12.9127705929
188,13.3697876629
189,13.2122770671
190,13.4749879018
191,13.429016537
192,12.9845521131
193,12.4275530602
194,13.5177390597
195,13.3174873242
196,13.1288042997
197,13.998144457
198,13.6618098564
199,13.2251006962
200,12.8699143568
201,13.633465101
202,12.8009027559
203,13.8339756966
204,13.1572082675
205,13.1161526472
206,13.2388741081
207,13.2852955284
208,13.1991462057
209,12.5078329473
210,13.3428394548
211,13.4114668045
212,12.8531410582
213,13.6553828216
214,13.4542972391
215,13.2188913245
216,13.5797749419
217,13.3858293459
218,13.2487397432
219,12.9436317523
220,12.6966663227
221,13.3514795236
222,13.3692944843
223,13.2049478483
224,13.1193849114
225,13.3625952369
226,13.7243095591
227,13.1425667682
228,12.9519413797
229,13.5554229976
230,13.3034030727
231,13.0416838829
232,12.896988654
233,13.0172465502
234,13.3859308554
235,13.3886104337
236,13.3900275522
237,12.9796230068
238,13.0710467024
239,13.0648018018
240,12.8706974881
241,13.3084656799
242,13.5886953128
243,12.9999729704
244,13.0684895292
245,12.5364141764
246,13.2896245243
247,13.2341553613
248,13.4587964187
249,13.3934018215
250,12.877703223
251,12.5158791341
252,12.9702990867
253,13.2756184152
254,13.6984034542
255,13.4374908727
256,13.0483816131
257,13.5362267906
258,13.3859616235
259,12.9373338741
260,12.6037843679
261,12.9132354345
262,13.4094255188
263,13.272685072
264,13.3433487767
265,13.5519420714
266,13.5776049634
267,13.3689553477
268,12.9582486056
269,12.8819604837
270,13.0052641148
271,12.8560775294
272,13.3931895442
273,13.1671336663
274,13.4493901894
275,12.9076401575
276,13.3205964235
277,13.145522364
278,13.1808486384
279,13.4706937544
280,13.2694163422
281,13.0803229515
282,13.0624407975
283,13.6477158413
284,13.2998445277
285,13.6658232923
286,13.5252658918
287,13.3511270506
288,13.4108437954
289,13.2867890863
290,12.8883259166
291,13.5171130554
292,13.3642944687
293,12.8996409203
294,13.053780264
295,13.3023021039
296,13.3071405777
297,13.5999928227
298,13.0329190688
299,12.8036534906
300,13.0321536852
301,13.5616157144
302,13.7171507354
303,13.1944378706
304,13.3168622748
305,12.9699991416
306,13.2518257768
307,13.1112447525
308,13.4868232284
309,13.3121199035
310,13.212292914
311,13.4096169079
312,13.4177063395
313,13.4186153318
314,13.3275094645
315,13.0412501347
316,13.2492889358
317,12.9618947716
318,13.4237459259
319,13.1750938144
320,13.4950048157
321,12.9778974193
322,13.3060579099
323,13.4134404116
324,13.2591926289
325,13.2826926181
326,12.842498289
327,13.3485980193
328,19.9892894607
329,19.8341942113
330,22.4828010762
331,23.8056164654
332,23.8056329632
333,23.8056339102
334,23.8056515991
335,23.8056541178
336,23.8056439345
337,23.8056509432
338,23.8056497408
339,23.8056522748
340,23.8056533408
341,23.8056542101
342,23.8056409359
343,23.8056458405
344,23.8056469832
345,23.8056433482
346,23.8056416884
347,23.8056473819
348,23.8056504775
349,23.805645733
350,23.8056356459
351,23.8056233006
352,23.8056558702
353,23.8056162903
354,23.8056194558
355,23.8055653692
356,23.8056601638
357,23.8056373348
358,23.8056414224
359,23.8056348878
360,23.805645436
361,23.8056528629
362,23.8056518707
363,23.8056449063
364,23.8056581441
365,23.8056437326
366,23.8056471405
367,23.8056598234
368,23.8056276481
369,23.8056546852
370,23.8056338168
371,23.8056204697
372,23.8056240973
373,23.8056422163
374,23.8056368284
375,23.8056425111
376,23.805638167
377,23.8056482998
378,23.8056478255
379,23.8056104291
380,23.8056552291
381,23.8056304877
382,23.8056448451
383,23.8056049072
384,23.805650359
385,23.8056514318
386,23.8056528177
387,23.8056196291
388,23.8056095979
389,23.8056423783
390,23.805654151
391,23.8056023732
392,23.8056217143
393,23.8056275523
394,23.8056403676
395,23.8056538755
396,23.8056476745
397,23.8056541184
398,23.8056516336
399,23.8056282573
400,23.8056491541
401,23.8056542687
402,23.8056463023
403,23.8056168574
404,23.8056437619
405,23.8056055544
406,23.8056261936
407,23.805648476
408,23.8056346697
409,23.8056459189
410,23.8056463472
411,23.8056331599
412,23.8056344641
413,23.8056482813
414,23.8056451812
415,23.8056462434
416,23.8056305755
417,23.8056333014
418,23.8056534069
419,23.8056374787
420,23.8055893414
421,23.8056453902
422,23.8056531974
423,23.8056171909
424,23.8056490972
425,23.8056466162
426,23.8056282933
427,23.8056544409
428,23.8056657928
429,23.8056353257
430,23.8056012595
431,23.8056602307
432,23.8056265311
433,23.8056380513
434,23.8056419884
435,23.8056583031
436,23.8056327231
437,23.8056459384
438,23.8056098186
439,23.8056500545
440,23.8056577486
441,23.8056385099
442,23.8056322979
443,23.805636958
444,23.8056493407
445,23.80564927
446,23.8056520336
447,23.8056504876
448,23.8056476613
449,23.8056317503
450,23.8056257104
451,23.8056416918
452,23.8056383089
453,23.8056136133
454,23.8056491323
455,23.8056108111
456,23.8056470127
457,23.8056426131
458,23.8056320008
459,23.8056198604
460,23.8056364498
461,23.8056491029
462,23.8056352741
463,23.8056521165
464,23.8056222688
465,23.8056524734
466,23.8056702183
467,23.8056465471
468,23.8056545269
469,23.8056268683
470,23.805657833
471,23.8056445272
472,23.8056249473
473,23.8056499497
474,23.8056340892
475,23.8056469652
476,23.8056496696
477,23.8056276745
478,23.8056490903
479,23.8056518744
480,23.8056415064
481,23.8056419632
482,23.8056526401
483,23.8056457895
484,23.8056442649
485,23.8056229393
486,23.8056493961
487,23.8055949712
488,23.8056476004
489,23.8056276294
490,23.8056871246
491,23.8056473565
492,23.8056409608
493,23.8056542073
494,23.8056456887
495,23.8056474078
496,23.8055786448
497,23.8056564251
498,23.8056482326
499,23.805653091
500,23.8056345218
501,23.805644943
502,23.8056135052
