time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-3.58700131361e-07,2.31295635973e-08,10.0009895633,3.18440071085e-05,0.000355067145311,0.0,-3.0196127845e-05,2.25609670014e-06,0.0329846996124,0.00157170215025,0.0156997663268,0.0,414.3446971335305,415.72231160832166,415.08522822081613,415.22309616842455
0.12000000000000001,-1.46592117657e-05,1.48733348323e-06,10.0077262008,0.000333861830968,0.00177021899304,0.0,-0.00058071569049,6.93364853289e-05,0.19155570198,0.0111873162875,0.0359420412525,0.0,453.3600655456244,454.98334662407757,455.6612362594412,456.4290668027561
0.18,-9.37606716685e-05,1.5114253584e-05,10.0218760484,0.00117482677557,0.00411917410685,0.0,-0.0022826098527,0.00046126153908,0.280087063264,0.019145647508,0.0448942874166,0.0,433.791304963728,434.543069388582,432.09048154291617,432.7606592856233
0.23999999999999996,-0.00033162711827,7.31291362205e-05,10.0428922463,0.00194316248885,0.00652204369152,0.0,-0.00592382426619,0.00158106808259,0.420409477237,-0.00455566270561,0.0279712190559,0.0,450.14136509340483,448.77081801958377,450.7373033734054,448.81801239514647
0.3,-0.000850228038591,0.000213416307041,10.0743512338,0.00185316326641,0.00807849606691,0.0,-0.0115534443936,0.00307428289644,0.628130639869,0.00400159248626,0.0215356148657,0.0,470.21122273318025,469.71256909896994,469.8264268860235,470.4893510986406
0.36000000000000004,-0.0017412316361,0.00044294680341,10.1181559001,0.00204106605696,0.00896355844655,0.0,-0.0182800073986,0.00460167788443,0.831897362847,0.00133246465566,-0.0044409846314,0.0,470.65555506629755,468.64097819868266,468.68020026044456,468.47267234851637
0.4200000000000001,-0.0030187005696,0.000761023333192,10.1706868251,0.00240323090133,0.00841691389589,0.0,-0.0242632180376,0.00602421947586,0.919067272872,0.0140878301941,-0.0206359284544,0.0,435.5809719603359,434.22478579394334,431.63130235523374,432.70620896767224
0.48000000000000015,-0.00469779858732,0.00119313189725,10.2354491577,0.00376259180515,0.00712955486912,0.0,-0.0315344715048,0.00853233694379,1.23938715845,0.0358459589506,-0.0231485543363,0.0,502.92496970974815,502.7430253645053,502.0672857702085,503.6432159241966
0.5400000000000001,-0.00671926049619,0.00178330997476,10.310977293,0.0057328212973,0.00575362511328,0.0,-0.0357188750491,0.0113323425782,1.27817456929,0.0260155756208,-0.0225029029416,0.0,418.4197873913608,418.47591037037074,419.171533134683,418.31695110687434
0.6000000000000002,-0.00896475892824,0.00257547261217,10.3886115642,0.00751868818065,0.0040748179228,0.0,-0.0389947852874,0.0152273884709,1.30959856923,0.0363678996894,-0.0421485940137,0.0,417.410489430471,415.69233075584026,415.47815546334346,416.3850483852918
0.6600000000000003,-0.011361574769,0.00361459807797,10.4653759038,0.00951827842158,0.00133165542984,0.0,-0.0406939808752,0.0195749719494,1.24928049149,0.026420525114,-0.054035908838,0.0,384.2020595905739,383.0718109370208,385.793573460944,384.85389690807915
0.7200000000000003,-0.0138202264865,0.00501669513261,10.5458806347,0.0109438517097,6.28123826919,0.0,-0.0408875872135,0.0273326178801,1.43399560231,0.0178221737322,-0.0558910482244,0.0,464.2664043436298,464.1189821874613,465.2464811913387,464.57288839923854
0.7800000000000004,-0.0162051902739,0.00695318070461,10.6408573565,0.0121833126083,6.27777903402,0.0,-0.0381656622139,0.0373645473896,1.73149052636,0.0257981293915,-0.061434184299,0.0,497.53237724150836,497.12449162170634,497.5739501582552,498.1573970992515
0.8400000000000004,-0.0183493438915,0.00949422198848,10.7510313598,0.0141737247786,6.27393758466,0.0,-0.032864227307,0.0475452082801,1.94063960445,0.0448857799648,-0.0697821956005,0.0,473.3759092742794,472.7303805985775,472.4640300140991,473.9336222338569
0.9000000000000005,-0.0201005377276,0.0126704114273,10.8718287638,0.0172293467241,6.26964768973,0.0,-0.025051206142,0.0586385673295,2.0856775653,0.0608752412822,-0.0751703352768,0.0,455.6459701437126,455.211223986257,453.1444111583091,454.42940749587206
0.9600000000000005,-0.0213519994782,0.0165021475708,10.9968162197,0.0208383506905,6.26496003665,0.0,-0.0162671296312,0.0693998880557,2.08056822181,0.0586594654942,-0.0848128708287,0.0,407.3419158482696,406.4732076251933,406.50245443893675,406.3067880687889
1.0200000000000005,-0.0219756802854,0.0210622485862,11.1224162854,0.0245278791085,6.2605440761,0.0,-0.00409639121748,0.0829305937276,2.10603762135,0.0666261554067,-0.0574310342599,0.0,415.4708315731996,417.8595831696525,416.99615718021164,417.69443821536123
1.0800000000000005,-0.0217194178141,0.0265834172169,11.2526997937,0.0285280060953,6.25747241144,0.0,0.0129775809263,0.101527643366,2.23647938762,0.0667538602506,-0.0409804101516,0.0,450.33869265579693,451.6655973713211,450.6732152408977,450.6867830518389
1.1400000000000006,-0.0203912481677,0.0332898431721,11.3902160077,0.0329034710849,6.25473285485,0.0,0.0315560835693,0.1224492825,2.34715142836,0.0830472556419,-0.0572079897567,0.0,445.41258748516003,444.0822346069454,445.1137504647729,446.44913240786815
1.2000000000000006,-0.017876271255,0.0413602408435,11.5347715642,0.0377217954763,6.25195539783,0.0,0.05259049455,0.147072409472,2.4710770531,0.0741684382561,-0.0304358025317,0.0,449.30974410601567,451.47350238287777,449.8062484204265,449.0917515668092
1.2600000000000007,-0.0140540119655,0.0509980542648,11.686477667,0.0419418906039,6.2500205387,0.0,0.0750058251052,0.174630447966,2.5855131053,0.0612903986726,-0.0361419434241,0.0,448.7131907335824,448.24935246580094,447.2138641398893,446.16741461233215
